Fpr,Tpr,Classifier
0.0,0.0,Naive Bayes
0.00089333571556190821,0.095174262734584444,Naive Bayes
0.00089333571556190821,0.098659517426273463,Naive Bayes
0.00089333571556190821,0.099195710455764072,Naive Bayes
0.00089333571556190821,0.11045576407506702,Naive Bayes
0.00089333571556190821,0.11099195710455764,Naive Bayes
0.00089333571556190821,0.11662198391420911,Naive Bayes
0.00089333571556190821,0.11715817694369973,Naive Bayes
0.00089333571556190821,0.11903485254691688,Naive Bayes
0.00089333571556190821,0.11957104557640751,Naive Bayes
0.00089333571556190821,0.12466487935656836,Naive Bayes
0.00089333571556190821,0.12520107238605899,Naive Bayes
0.00089333571556190821,0.12546916890080428,Naive Bayes
0.00089333571556190821,0.12654155495978553,Naive Bayes
0.00089333571556190821,0.132171581769437,Naive Bayes
0.00089333571556190821,0.13270777479892762,Naive Bayes
0.00089333571556190821,0.13833780160857909,Naive Bayes
0.00098266928711809908,0.13833780160857909,Naive Bayes
0.00098266928711809908,0.13941018766756033,Naive Bayes
0.0010720028586742897,0.13941018766756033,Naive Bayes
0.0010720028586742897,0.16916890080428953,Naive Bayes
0.0011613364302304806,0.16916890080428953,Naive Bayes
0.0011613364302304806,0.17024128686327078,Naive Bayes
0.0012506700017866715,0.17024128686327078,Naive Bayes
0.0012506700017866715,0.17265415549597854,Naive Bayes
0.0013400035733428623,0.17265415549597854,Naive Bayes
0.0013400035733428623,0.17426273458445041,Naive Bayes
0.001429337144899053,0.17426273458445041,Naive Bayes
0.001429337144899053,0.17506702412868633,Naive Bayes
0.0016080042880114347,0.17506702412868633,Naive Bayes
0.0016080042880114347,0.17560321715817695,Naive Bayes
0.0016973378595676256,0.17560321715817695,Naive Bayes
0.0016973378595676256,0.17587131367292225,Naive Bayes
0.0017866714311238164,0.17587131367292225,Naive Bayes
0.0017866714311238164,0.17640750670241287,Naive Bayes
0.0018760050026800071,0.17640750670241287,Naive Bayes
0.0018760050026800071,0.17667560321715817,Naive Bayes
0.0023226728604609612,0.17667560321715817,Naive Bayes
0.0023226728604609612,0.17694369973190349,Naive Bayes
0.0028586742897981059,0.17694369973190349,Naive Bayes
0.0028586742897981059,0.17721179624664879,Naive Bayes
0.0029480078613542968,0.17721179624664879,Naive Bayes
0.0029480078613542968,0.17882037533512066,Naive Bayes
0.0033053421475790603,0.17882037533512066,Naive Bayes
0.0033053421475790603,0.17908847184986595,Naive Bayes
0.0035733428622476329,0.17908847184986595,Naive Bayes
0.0035733428622476329,0.17962466487935658,Naive Bayes
0.003841343576916205,0.17962466487935658,Naive Bayes
0.003841343576916205,0.1804289544235925,Naive Bayes
0.0040200107200285863,0.1804289544235925,Naive Bayes
0.0040200107200285863,0.18123324396782842,Naive Bayes
0.004198677863140968,0.18123324396782842,Naive Bayes
0.004198677863140968,0.18150134048257371,Naive Bayes
0.0042880114346971589,0.18150134048257371,Naive Bayes
0.0042880114346971589,0.18176943699731904,Naive Bayes
0.0044666785778095406,0.18176943699731904,Naive Bayes
0.0044666785778095406,0.18203753351206434,Naive Bayes
0.0045560121493657315,0.18203753351206434,Naive Bayes
0.0045560121493657315,0.18230563002680966,Naive Bayes
0.0046453457209219224,0.18230563002680966,Naive Bayes
0.0046453457209219224,0.18257372654155496,Naive Bayes
0.0048240128640343041,0.18257372654155496,Naive Bayes
0.0048240128640343041,0.18284182305630026,Naive Bayes
0.0051813471502590676,0.18284182305630026,Naive Bayes
0.0051813471502590676,0.18310991957104558,Naive Bayes
0.005628015008040021,0.18310991957104558,Naive Bayes
0.005628015008040021,0.1836461126005362,Naive Bayes
0.0058066821511524027,0.1836461126005362,Naive Bayes
0.0058066821511524027,0.1839142091152815,Naive Bayes
0.0058960157227085936,0.1839142091152815,Naive Bayes
0.0058960157227085936,0.1841823056300268,Naive Bayes
0.0061640164373771662,0.1841823056300268,Naive Bayes
0.0061640164373771662,0.18445040214477212,Naive Bayes
0.0068786850098266931,0.18445040214477212,Naive Bayes
0.0068786850098266931,0.18471849865951742,Naive Bayes
0.006968018581382884,0.18471849865951742,Naive Bayes
0.006968018581382884,0.18498659517426275,Naive Bayes
0.0072360192960514557,0.18498659517426275,Naive Bayes
0.0072360192960514557,0.18525469168900804,Naive Bayes
0.0073253528676076466,0.18525469168900804,Naive Bayes
0.0073253528676076466,0.18605898123324396,Naive Bayes
0.0074146864391638374,0.18605898123324396,Naive Bayes
0.0074146864391638374,0.18793565683646113,Naive Bayes
0.00768268715383241,0.18793565683646113,Naive Bayes
0.00768268715383241,0.18927613941018767,Naive Bayes
0.0077720207253886009,0.18927613941018767,Naive Bayes
0.0077720207253886009,0.18954423592493297,Naive Bayes
0.0080400214400571726,0.18954423592493297,Naive Bayes
0.0080400214400571726,0.19088471849865951,Naive Bayes
0.0081293550116133644,0.19088471849865951,Naive Bayes
0.0081293550116133644,0.19249329758713138,Naive Bayes
0.0082186885831695543,0.19249329758713138,Naive Bayes
0.0082186885831695543,0.19571045576407506,Naive Bayes
0.0085760228693943178,0.19571045576407506,Naive Bayes
0.0085760228693943178,0.1970509383378016,Naive Bayes
0.0086653564409505095,0.1970509383378016,Naive Bayes
