Field,Male,Female
None,29,39
1st - 4th grade,39,46
5th - 6th grade,63,40
7th - 8th grade,116,85
9th grade,159,159
10th grade,334,298
11th grade /2,1943,1727
High school graduate,5011,4068
"Some college, no degree",5356,5692
"Associate's degree, occupational",319,381
"Associate's degree, academic",393,577
Bachelor's degree,1331,1684
Master's degree,64,148
Professional degree,5,7
Doctoral degree,2,0
